incident_date,city,state,description,plan,citatation
7/18/2015,township,mi,Worker fatally crushed between fence and motorized gate.,unknown,unknown
7/17/2015,elk grove village,il,Worker fatally crushed by forklift.,unknown,unknown
7/17/2015,conshohocken,pa,Worker killed in fall from platform.,unknown,unknown
7/17/2015,bakersfield,ca,Worker killed in fall from oil derrick platform.,unknown,unknown
7/17/2015,tulsa,ok,worker fatally crushed by dumpster.,unknown,unknown
7/17/2015,vaugh,nm,Worker killed in vehicle collision and fire.,unknown,unknown
7/17/2015,franklin,ky,Worker died from heat stroke while performing landscaping duties.,unknown,unknown
7/17/2015,saginaw,tx,Worker killed in presurized tank explosion.,unknown,unknown
7/16/2015,north castle,ny,Worker killed in fall from roof.,unknown,unknown
7/16/2015,marietta,ga,Worker struck and killed by granite countertop slab. ,unknown,unknown
7/16/2015,el cajon,ca,Worker struck and killed by large piece of metal.,unknown,unknown
7/16/2015,st. louis,mo,Employee died after being struck by a tow boat while working on scaffolding.,unknown,unknown
7/15/2015,frederick,co,Worker struck and killed by tire during inflation.,unknown,unknown
7/15/2015,st. john,in,Worker fatally shot by assailant.,unknown,unknown
7/15/2015,dickinson,nd,Worker fatally crushed by soil compactor.,unknown,unknown
7/15/2015,memphis,tn,Worker struck and killed by tire cylinder.,unknown,unknown
7/15/2015,edwardsville,il,Worker fatally crushed by forklift.,unknown,unknown
7/15/2015,victoria,tx,Worker fatally crushed between trailer and dock platform.,unknown,unknown
7/14/2015,glen ridge,nj, Worker drowned while power washing pool.,unknown,unknown
7/14/2015,vicksburg,mi,Worker killed in fall through floor opening.,unknown,unknown
7/14/2015,conroe,tx,Worker killed in fall from decking.,unknown,unknown
7/14/2015,kanab,ut,Worker killed in fall from zipline.,unknown,unknown
7/14/2015,nashville,tn,Worker struck and killed by garbage truck backing up.,unknown,unknown
7/14/2015,blackwood,nj,Worker fatally crushed by motorhome while performing vehicle maintenance.,unknown,unknown
7/14/2015,denton,tx,Worker struck and killed by skid loader.,unknown,unknown
7/13/2015,center,mi,Worker struck and killed by tractor that fell into drainage excavation.,unknown,unknown
7/13/2015,ventura,ca,Worker killed in fall from flatbed truck.,unknown,unknown
7/12/2015,boise city,ok,Worker died after being ejected from ATV.,unknown,unknown
7/11/2015,knights landing,ca,Worker killed in fall from tractor.,unknown,unknown
7/10/2015,colcord,ok,Worker killed in fall from truss.,unknown,unknown
7/10/2015,fort morgan,co,Worker electrocuted after contacting energized substation.,unknown,unknown
7/10/2015,powhatan,va,Worker performing tree trimming operations killed in fall.,unknown,unknown
7/9/2015,flatwoods,ky,Worker trimming tree electrocuted when branch contacted powerline.,unknown,unknown
7/9/2015,forest,ms,Worker fatally crushed by truck wheels.,unknown,unknown
7/9/2015,winston salem,nc,Worker killed when straw caught fire while being unloaded from trailer.,unknown,unknown
7/9/2015,declo,id,Worker fatally crushed by vinyl liner during loading.,unknown,unknown
7/8/2015,maple grove,mn,Worker struck and killed by debris from pontoon boat explosion.,unknown,unknown
7/8/2015,westminster,co,Worker fatally crushed by backhoe in excavation.,unknown,unknown
7/8/2015,fowler,ca,Worker died from overexposure to heat in grape field.,unknown,unknown
7/8/2015,danville,pa,Worker killed in fall from scaffold.,unknown,unknown
7/8/2015,walker,mi,Worker killed in fall through hole in landing.,unknown,unknown
7/7/2015,winston salem,nc,Worker fatally crushed between I-beam and basket control.,unknown,unknown
7/7/2015,charolotte,nc,Worker killed in fall from scaffold platform.,unknown,unknown
7/7/2015,murrayville,ga,Worker electrocuted by fluorescent light balance.,unknown,unknown
7/7/2015,brooklyn,ny,Three workers hospitalized when tank exploded.,unknown,unknown
7/7/2015,millville,pa,Employee killed in excavation collapse while performing bridge abutment work.,unknown,unknown
7/7/2015,midland,tx,Worker killed in fall from ladder.,unknown,unknown
7/7/2015,ionia,mi,Worker fatally crushed by robotic arm.,unknown,unknown
7/6/2015,huntsville,tx,Worker struck and killed by pipe being uloaded from truck.,unknown,unknown
7/6/2015,dallas,tx,Worker killed in forklift rollover.,unknown,unknown
7/6/2015,freeport,tx,Worker asphyxiated inside vertical pipe.,unknown,unknown
7/6/2015,glenville,nc,Worker killed in fall from ladder.,unknown,unknown
7/6/2015,camp lejeune,nc,Worker killed in fall through hole in floor.,unknown,unknown
7/5/2015,baraboo,wi,Worker killed in fall down stairs.,unknown,unknown
7/4/2015,kyle,tx,Worker installing roof trusses killed in fall.,unknown,unknown
7/3/2015,houston,tx,Worker shot and killed by asssailant.,unknown,unknown
7/3/2015,orange cove,ca,Worker killed when forklift rolled over.,unknown,unknown
7/2/2015,alcoa,tn,Ten workers responding to train derailment hospitalized due to Acrylonitrile exposure.,unknown,unknown
7/2/2015,randlett,ut,Worker drowned when trackhoe veered into river.,unknown,unknown
